Cycle,Lag,p_value,direction
2004,1,0.6394035617866856,R→D
2004,2,0.11978039539122395,R→D
2004,3,0.34408762952194183,R→D
2004,4,0.44955459512513396,R→D
2008,1,0.46834160604008945,R→D
2008,2,0.38221487007082744,R→D
2008,3,0.711157137062398,R→D
2008,4,0.7849638839546784,R→D
2012,1,0.550971056408315,R→D
2012,2,0.46336243155087087,R→D
2012,3,0.49254328657049373,R→D
2012,4,0.57088774599213,R→D
2020,1,0.009820471848864773,R→D
2020,2,0.0031233892837687883,R→D
2020,3,0.008490827603116985,R→D
2020,4,0.04491392507387141,R→D
2004,1,8.3729383816394e-05,D→R
2004,2,1.0932907329114777e-08,D→R
2004,3,2.697537486399899e-08,D→R
2004,4,4.081705366392781e-07,D→R
2008,1,1.3432765728958511e-06,D→R
2008,2,9.38768962413696e-05,D→R
2008,3,0.0044008947531987,D→R
2008,4,0.062207320528904785,D→R
2012,1,0.030319013044076446,D→R
2012,2,0.39791085305940643,D→R
2012,3,0.561144022279142,D→R
2012,4,0.32743783166760354,D→R
2020,1,7.628822341566872e-07,D→R
2020,2,8.665950498067851e-05,D→R
2020,3,0.0014111747528797556,D→R
2020,4,0.0020580189863590266,D→R
