source,source_type,target,partisan_direction,amount_2024_M
Republican National Cmte,PAC,Mitt Romney (R),pro_R,352.657
Priorities USA Action,PAC,Joe Biden (D),pro_D,320.648
Restore Our Future,PAC,Mitt Romney (R),pro_R,278.922
American Crossroads,PAC,Mitt Romney (R),pro_R,247.962
Priorities USA Action,PAC,Barack Obama (D),pro_D,177.409
America First Action,PAC,Donald Trump (R),pro_R,162.243
Future Forward USA,PAC,Joe Biden (D),pro_D,161.344
Retired,Industry,Donald Trump (R),pro_R,134.275
Independence USA PAC,PAC,Joe Biden (D),pro_D,131.906
Preserve America PAC,PAC,Donald Trump (R),pro_R,124.873
Republican National Cmte,PAC,Donald Trump (R),pro_R,123.053
DNC Services Corp,PAC,Barack Obama (D),pro_D,112.144
Restore Our Future,PAC,Barack Obama (D),pro_D,107.781
Retired,Industry,Barack Obama (D),pro_D,79.735
Retired,Industry,Mitt Romney (R),pro_R,78.356
Democratic/Liberal,Industry,Joe Biden (D),pro_D,71.18
Service Employees International Union,PAC,Barack Obama (D),pro_D,65.081
Service Employees International Union,PAC,Joe Biden (D),pro_D,62.04
DNC Services Corp,PAC,Joe Biden (D),pro_D,53.053
Securities & Investment,Industry,Mitt Romney (R),pro_R,43.58
Lawyers/Law Firms,Industry,Barack Obama (D),pro_D,42.637
Retired,Industry,Joe Biden (D),pro_D,40.35
Lawyers/Law Firms,Industry,Joe Biden (D),pro_D,40.332
Education,Industry,Barack Obama (D),pro_D,35.647
Education,Industry,Joe Biden (D),pro_D,24.348
Health Professionals,Industry,Mitt Romney (R),pro_R,21.452
Health Professionals,Industry,Barack Obama (D),pro_D,21.387
Lawyers/Law Firms,Industry,Mitt Romney (R),pro_R,21.372
Health Professionals,Industry,Donald Trump (R),pro_R,15.917
Health Professionals,Industry,Joe Biden (D),pro_D,15.389
Securities & Investment,Industry,Joe Biden (D),pro_D,14.943
Securities & Investment,Industry,Barack Obama (D),pro_D,14.189
Lawyers/Law Firms,Industry,Donald Trump (R),pro_R,6.672
Securities & Investment,Industry,Donald Trump (R),pro_R,6.561
American Crossroads,PAC,Donald Trump (R),pro_R,6.135
Education,Industry,Mitt Romney (R),pro_R,6.124
Democratic/Liberal,Industry,Pete Buttigieg (D),pro_D,6.032
Democratic/Liberal,Industry,Barack Obama (D),pro_D,5.755
Education,Industry,Donald Trump (R),pro_R,4.158
Retired,Industry,Pete Buttigieg (D),pro_D,3.943
Lawyers/Law Firms,Industry,Pete Buttigieg (D),pro_D,3.446
Education,Industry,Pete Buttigieg (D),pro_D,3.15
Securities & Investment,Industry,Pete Buttigieg (D),pro_D,2.686
Health Professionals,Industry,Pete Buttigieg (D),pro_D,2.544
Securities & Investment,Industry,Rick Perry (R),pro_R,1.437
Health Professionals,Industry,Rick Perry (R),pro_R,1.363
Retired,Industry,Rick Perry (R),pro_R,1.274
Lawyers/Law Firms,Industry,Rick Perry (R),pro_R,1.176
Priorities USA Action,PAC,Donald Trump (R),pro_R,0.818
Democratic/Liberal,Industry,Donald Trump (R),pro_R,0.589
Education,Industry,Rick Perry (R),pro_R,0.292
Service Employees International Union,PAC,Donald Trump (R),pro_R,0.025
Service Employees International Union,PAC,Mitt Romney (R),pro_R,0.015
Democratic/Liberal,Industry,Mitt Romney (R),pro_R,0.011
