source,source_type,target,partisan_direction,amount_2024_M
DNC Services Corp,PAC,John Kerry (D),pro_D,906.736
Republican National Cmte,PAC,John McCain (R),pro_R,418.151
Service Employees International Union,PAC,Barack Obama (D),pro_D,224.26
Republican National Cmte,PAC,George W Bush (R),pro_R,222.875
Moveon.org,PAC,John Kerry (D),pro_D,82.178
National Rifle Assn,PAC,John McCain (R),pro_R,80.469
Lawyers/Law Firms,Industry,Barack Obama (D),pro_D,73.897
Retired,Industry,Barack Obama (D),pro_D,62.125
American Federation of State/Cnty/Munic Employees,PAC,John Kerry (D),pro_D,46.381
DNC Services Corp,PAC,Barack Obama (D),pro_D,44.007
Retired,Industry,John McCain (R),pro_R,42.46
American Federation of State/Cnty/Munic Employees,PAC,Barack Obama (D),pro_D,42.148
Education,Industry,Barack Obama (D),pro_D,41.457
Lawyers/Law Firms,Industry,John Kerry (D),pro_D,41.224
AFL-CIO,PAC,John Kerry (D),pro_D,37.686
Moveon.org,PAC,Barack Obama (D),pro_D,36.114
National Republican Trust PAC,PAC,John McCain (R),pro_R,35.633
Securities & Investment,Industry,Barack Obama (D),pro_D,34.968
United Auto Workers,PAC,John Kerry (D),pro_D,34.282
Retired,Industry,George W Bush (R),pro_R,33.974
Service Employees International Union,PAC,John Kerry (D),pro_D,33.109
United Auto Workers,PAC,Barack Obama (D),pro_D,30.766
Lawyers/Law Firms,Industry,John Edwards (D),pro_D,30.198
American Federation of State/Cnty/Munic Employees,PAC,Howard Dean (D),pro_D,29.484
Health Professionals,Industry,Barack Obama (D),pro_D,29.451
National Rifle Assn,PAC,George W Bush (R),pro_R,28.956
Securities & Investment,Industry,George W Bush (R),pro_R,23.882
National Education Assn,PAC,John Kerry (D),pro_D,23.845
Retired,Industry,John Kerry (D),pro_D,23.622
National Education Assn,PAC,Barack Obama (D),pro_D,22.657
Real Estate,Industry,George W Bush (R),pro_R,21.471
AFL-CIO,PAC,Barack Obama (D),pro_D,21.082
Securities & Investment,Industry,John McCain (R),pro_R,20.369
Real Estate,Industry,Barack Obama (D),pro_D,19.611
Lawyers/Law Firms,Industry,George W Bush (R),pro_R,19.434
Real Estate,Industry,John McCain (R),pro_R,15.567
Education,Industry,John Kerry (D),pro_D,15.532
Lawyers/Law Firms,Industry,John McCain (R),pro_R,14.922
Health Professionals,Industry,George W Bush (R),pro_R,13.26
Securities & Investment,Industry,John Kerry (D),pro_D,11.35
Health Professionals,Industry,John McCain (R),pro_R,10.604
Health Professionals,Industry,John Kerry (D),pro_D,9.643
Real Estate,Industry,John Kerry (D),pro_D,8.857
Retired,Industry,Howard Dean (D),pro_D,5.24
AFL-CIO,PAC,George W Bush (R),pro_R,4.876
Education,Industry,George W Bush (R),pro_R,3.968
Retired,Industry,John Edwards (D),pro_D,3.46
Service Employees International Union,PAC,Howard Dean (D),pro_D,3.342
Education,Industry,John McCain (R),pro_R,2.981
Lawyers/Law Firms,Industry,Howard Dean (D),pro_D,2.915
Securities & Investment,Industry,John Edwards (D),pro_D,2.617
Education,Industry,Howard Dean (D),pro_D,2.509
Health Professionals,Industry,Howard Dean (D),pro_D,1.999
Real Estate,Industry,John Edwards (D),pro_D,1.902
National Rifle Assn,PAC,John Kerry (D),pro_D,1.89
Securities & Investment,Industry,Howard Dean (D),pro_D,1.671
Education,Industry,John Edwards (D),pro_D,1.666
Health Professionals,Industry,John Edwards (D),pro_D,1.573
American Federation of State/Cnty/Munic Employees,PAC,John McCain (R),pro_R,1.37
Real Estate,Industry,Howard Dean (D),pro_D,1.136
American Federation of State/Cnty/Munic Employees,PAC,John Edwards (D),pro_D,0.154
Moveon.org,PAC,John Edwards (D),pro_D,0.049
National Rifle Assn,PAC,Barack Obama (D),pro_D,0.045
National Education Assn,PAC,John McCain (R),pro_R,0.04
AFL-CIO,PAC,John McCain (R),pro_R,0.031
American Federation of State/Cnty/Munic Employees,PAC,George W Bush (R),pro_R,0.025
